Year,NaturalGas_CC,Wind,Solar
2021,56.6,35.754,25.148999999999997
2022,56.6,36.11154,25.400489999999998
2023,56.6,36.4726554,25.654494900000003
2024,56.6,36.837381954,25.911039848999998
2025,56.6,37.205755773540005,26.170150247490003
2026,56.6,37.5778133312754,26.431851749964903
2027,56.6,37.95359146458816,26.69617026746455
2028,56.6,38.333127379234035,26.963131970139194
2029,56.6,38.71645865302637,27.232763289840584
2030,56.6,39.10362323955664,27.50509092273899
2031,56.6,39.494659471952204,27.780141831966382
2032,56.6,39.88960606667173,28.057943250286044
2033,56.6,40.28850212733845,28.338522682788906
2034,56.6,40.69138714861184,28.6219079096168
2035,56.6,41.09830102009795,28.908126988712965
2036,56.6,41.509284030298936,29.1972082586001
2037,56.6,41.92437687060192,29.489180341186096
2038,56.6,42.34362063930794,29.784072144597957
2039,56.6,42.76705684570102,30.081912866043936
2040,56.6,43.19472741415803,30.38273199470438
2041,56.6,43.626674688299616,30.686559314651422
2042,56.6,44.06294143518261,30.993424907797934
2043,56.6,44.503570849534434,31.303359156875914
2044,56.6,44.94860655802978,31.616392748444675
2045,56.6,45.398092623610076,31.93255667592912
2046,56.6,45.85207354984618,32.25188224268842
2047,56.6,46.31059428534464,32.5744010651153
2048,56.6,46.77370022819809,32.90014507576645
2049,56.6,47.241437230480074,33.22914652652412
2050,56.6,47.71385160278487,33.56143799178936
2051,56.6,48.19099011881272,33.897052371707254
