Year,NG,Solar,Wind
2021,1661000.0,1391600.0,1433083.48232
2022,1661000.0,1363768.0,1404421.8126736
2023,1661000.0,1336492.64,1376333.376420128
2024,1661000.0,1309762.7872,1348806.7088917254
2025,1661000.0,1283567.531456,1321830.574713891
2026,1661000.0,1257896.1808268798,1295393.963219613
2027,1661000.0,1232738.2572103422,1269486.0839552209
2028,1661000.0,1208083.4920661354,1244096.3622761164
2029,1661000.0,1183921.8222248126,1219214.435030594
2030,1661000.0,1160243.3857803163,1194830.146329982
2031,1661000.0,1137038.51806471,1170933.5434033824
2032,1661000.0,1114297.7477034158,1147514.8725353146
2033,1661000.0,1092011.7927493474,1124564.5750846083
2034,1661000.0,1070171.5568943603,1102073.283582916
2035,1661000.0,1048768.1257564733,1080031.817911258
2036,1661000.0,1027792.7632413438,1058431.1815530327
2037,1661000.0,1007236.9079765169,1037262.557921972
2038,1661000.0,987092.1698169864,1016517.3067635325
2039,1661000.0,967350.3264206467,996186.9606282618
2040,1661000.0,948003.3198922338,976263.2214156965
2041,1661000.0,929043.2534943891,956737.9569873826
2042,1661000.0,910462.3884245013,937603.1978476349
2043,1661000.0,892253.1406560113,918851.1338906824
2044,1661000.0,874408.0778428911,900474.1112128687
2045,1661000.0,856919.9162860332,882464.6289886113
2046,1661000.0,839781.5179603125,864815.336408839
2047,1661000.0,822985.8876011062,847519.0296806621
2048,1661000.0,806526.1698490841,830568.649087049
2049,1661000.0,790395.6464521025,813957.276105308
2050,1661000.0,774587.7335230605,797678.1305832018
2051,1661000.0,759095.9788525992,781724.5679715377
