Year,NG,Solar,Wind
2021,1661000.0,1420000.0,1462330.084
2022,1661000.0,1420000.0,1462330.084
2023,1661000.0,1420000.0,1462330.084
2024,1661000.0,1420000.0,1462330.084
2025,1661000.0,1420000.0,1462330.084
2026,1661000.0,1420000.0,1462330.084
2027,1661000.0,1420000.0,1462330.084
2028,1661000.0,1420000.0,1462330.084
2029,1661000.0,1420000.0,1462330.084
2030,1661000.0,1420000.0,1462330.084
2031,1661000.0,1420000.0,1462330.084
2032,1661000.0,1420000.0,1462330.084
2033,1661000.0,1420000.0,1462330.084
2034,1661000.0,1420000.0,1462330.084
2035,1661000.0,1420000.0,1462330.084
2036,1661000.0,1420000.0,1462330.084
2037,1661000.0,1420000.0,1462330.084
2038,1661000.0,1420000.0,1462330.084
2039,1661000.0,1420000.0,1462330.084
2040,1661000.0,1420000.0,1462330.084
2041,1661000.0,1420000.0,1462330.084
2042,1661000.0,1420000.0,1462330.084
2043,1661000.0,1420000.0,1462330.084
2044,1661000.0,1420000.0,1462330.084
2045,1661000.0,1420000.0,1462330.084
2046,1661000.0,1420000.0,1462330.084
2047,1661000.0,1420000.0,1462330.084
2048,1661000.0,1420000.0,1462330.084
2049,1661000.0,1420000.0,1462330.084
2050,1661000.0,1420000.0,1462330.084
2051,1661000.0,1420000.0,1462330.084
