Bus_Number,Bus_Name,LZ_Name,,,,,,,,,,,,,,,,,,,
72,Brownsville 2 345,South,,,,,,,,,,,,,,,,,,,
51,Brownsville 1 345,South,,,,,,,,,,,,,,,,,,,
103,Los Fresnos 1 345,South,,,,,,,,,,,,,,,,,,,
112,Edinburg 1 345,South,,,,,,,,,,,,,,,,,,,
5,Sullivan City 345,South,,,,,,,,,,,,,,,,,,,
118,Mission 3 345,South,,,,,,,,,,,,,,,,,,,
85,San Perlita 345,South,,,,,,,,,,,,,,,,,,,
25,Raymondville 345,South,,,,,,,,,,,,,,,,,,,
49,Lopeno 345,South,,,,,,,,,,,,,,,,,,,
123,Lopeno 345,South,,,,,,,,,,,,,,,,,,,
71,Sarita 1 345,South,,,,,,,,,,,,,,,,,,,
46,Bayside 3 345,South,,,,,,,,,,,,,,,,,,,
113,Agua Dulce 345,South,,,,,,,,,,,,,,,,,,,
73,Laredo 5 345,South,,,,,,,,,,,,,,,,,,,
122,Laredo 5 345,South,,,,,,,,,,,,,,,,,,,
32,Corpus Christi 11 345,South,,,,,,,,,,,,,,,,,,,
18,Taft 2 345,South,,,,,,,,,,,,,,,,,,,
80,Bayside 1 345,South,,,,,,,,,,,,,,,,,,,
65,Calliham 345,South,,,,,,,,,,,,,,,,,,,
19,Dilley 1 345,South,,,,,,,,,,,,,,,,,,,
31,Campbellton 345,South,,,,,,,,,,,,,,,,,,,
111,Wadsworth 2 345,Houston,,,,,,,,,,,,,,,,,,,
91,Meyersville 345,South,,,,,,,,,,,,,,,,,,,
62,Feeeport 345,Houston,,,,,,,,,,,,,,,,,,,
38,Lytle 345,South,,,,,,,,,,,,,,,,,,,
52,San Antonio 14 345,CPS,,,,,,,,,,,,,,,,,,,
57,Texas City 2 345,Houston,,,,,,,,,,,,,,,,,,,
4,Rosharon 345,Houston,,,,,,,,,,,,,,,,,,,
83,San Antonio 2 345,CPS,,,,,,,,,,,,,,,,,,,
47,San Antonio 25 345,CPS,,,,,,,,,,,,,,,,,,,
90,East Bernard 1 345,Houston,,,,,,,,,,,,,,,,,,,
86,Houston 48 345,Houston,,,,,,,,,,,,,,,,,,,
88,San Antonio 29 345,CPS,,,,,,,,,,,,,,,,,,,
96,Houston 20 345,Houston,,,,,,,,,,,,,,,,,,,
70,Camp Wood 345,South,,,,,,,,,,,,,,,,,,,
45,Tarpley 345,South,,,,,,,,,,,,,,,,,,,
64,San Antonio 33 345,CPS,,,,,,,,,,,,,,,,,,,
68,Houston 46 345,Houston,,,,,,,,,,,,,,,,,,,
100,Pasadena 4 345,Houston,,,,,,,,,,,,,,,,,,,
116,Katy 2 345,Houston,,,,,,,,,,,,,,,,,,,
33,New Braunfels 2 345,South,,,,,,,,,,,,,,,,,,,
69,Houston 45 345,Houston,,,,,,,,,,,,,,,,,,,
84,Houston 12 345,Houston,,,,,,,,,,,,,,,,,,,
89,Houston 11 345,Houston,,,,,,,,,,,,,,,,,,,
15,Canyon Lake 1 345,South,,,,,,,,,,,,,,,,,,,
23,Dale 345,South,,,,,,,,,,,,,,,,,,,
8,Fischer 345,South,,,,,,,,,,,,,,,,,,,
67,Tomball 1 345,Houston,,,,,,,,,,,,,,,,,,,
105,Spring 3 345,Houston,,,,,,,,,,,,,,,,,,,
36,Cedar Creek 2 345,South,,,,,,,,,,,,,,,,,,,
79,Bastrop 2 345,South,,,,,,,,,,,,,,,,,,,
56,Del Valle 345,AEN,,,,,,,,,,,,,,,,,,,
106,New Caney 345,Houston,,,,,,,,,,,,,,,,,,,
92,Conroe 7 345,Houston,,,,,,,,,,,,,,,,,,,
17,Austin 17 345,South,,,,,,,,,,,,,,,,,,,
24,Brenham 345,South,,,,,,,,,,,,,,,,,,,
29,Austin 22 345,AEN,,,,,,,,,,,,,,,,,,,
39,Conroe 4 345,Houston,,,,,,,,,,,,,,,,,,,
108,Austin 27 345,AEN,,,,,,,,,,,,,,,,,,,
3,Alpine 2 345,"West
West",,,,,,,,,,,,,,,,,,,
95,Montgomery 2 345,Houston,,,,,,,,,,,,,,,,,,,
43,Rockdale 2 345,South,,,,,,,,,,,,,,,,,,,
44,Richards 2 345,North,,,,,,,,,,,,,,,,,,,
9,Bryan 1 345,North,,,,,,,,,,,,,,,,,,,
77,Castell 345,South,,,,,,,,,,,,,,,,,,,
110,Bryan 5 345,North,,,,,,,,,,,,,,,,,,,
28,Art 345,South,,,,,,,,,,,,,,,,,,,
61,Burnet 345,South,,,,,,,,,,,,,,,,,,,
41,Melvin 345,South,,,,,,,,,,,,,,,,,,,
26,Mccamey 345,"West
West",,,,,,,,,,,,,,,,,,,
99,Reagan 345,South,,,,,,,,,,,,,,,,,,,
66,Eden 345,South,,,,,,,,,,,,,,,,,,,
54,Centerville 345,North,,,,,,,,,,,,,,,,,,,
21,San Angelo 3 345,"West
West",,,,,,,,,,,,,,,,,,,
53,Monahans 2 345,"West
West",,,,,,,,,,,,,,,,,,,
22,Carlsbad 345,"West
West",,,,,,,,,,,,,,,,,,,
98,Alto 345,North,,,,,,,,,,,,,,,,,,,
63,Waco 2 345,North,,,,,,,,,,,,,,,,,,,
78,Mexia 345,North,,,,,,,,,,,,,,,,,,,
59,Odessa 8 345,"West
West",,,,,,,,,,,,,,,,,,,
1,Tennessee Colony 345,North,,,,,,,,,,,,,,,,,,,
115,Frost 345,North,,,,,,,,,,,,,,,,,,,
50,Crane 2 345,"West
West",,,,,,,,,,,,,,,,,,,
42,Blum 345,North,,,,,,,,,,,,,,,,,,,
94,Merkel 2 345,"West
West",,,,,,,,,,,,,,,,,,,
107,Glen Rose 2 345,North,,,,,,,,,,,,,,,,,,,
81,Tyler 8 345,North,,,,,,,,,,,,,,,,,,,
30,Abilene 2 345,"West
West",,,,,,,,,,,,,,,,,,,
119,Trent 2 345,"West
West",,,,,,,,,,,,,,,,,,,
34,Abilene 5 345,"West
West",,,,,,,,,,,,,,,,,,,
7,Eastland 345,North,,,,,,,,,,,,,,,,,,,
48,Roscoe 2 345,"West
West",,,,,,,,,,,,,,,,,,,
