Year,NG,Solar,Wind,Total
2000,7073.4,0,160,81898
2001,5281.1,0,699,88256
2002,8088.3,0,161,96565
2003,5911.4,0,198,97570
2004,2212.6,0,108,100618
2005,117,0,577,101048
2006,814.6,0,731,100754
2007,554.4,0,1570,101938
2008,476.7,0,3898,104966
2009,905.4,0,907,103037
2010,1960.5,15,451,108258
2011,1169.2,0,145,109179
2012,0,57,1095,109568
2013,455.4,49,402,109584
2014,2569.8,48,1629,112914
2015,1627.6,121,3129,117144
2016,943,277,1805,118722
2017,2703.5,502,3035,123512
2018,785.5,789,1079,122159
2019,106.2,425,2083,125117
2020,113.2,1692,1261,128947
