,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
Jan, 17.23 , 17.80 , 17.22 , 17.19 , 17.53 , 23.47 
Feb, 18.65 , 19.57 , 17.76 , 17.90 , 19.20 , 53.41 
Mar, 23.53 , 24.46 , 24.20 , 23.50 , 23.44 , 66.71 
Apr, 21.45 , 21.65 , 20.93 , 20.24 , 21.60 , 22.20 
May, 18.80 , 19.89 , 19.81 , 18.49 , 20.10 , 19.19 
Jun, 18.83 , 19.57 , 19.75 , 19.44 , 19.23 , 18.71 
Jul, 22.01 , 22.73 , 24.07 , 23.35 , 25.01 , 22.90 
Aug, 39.04 , 39.02 , 40.06 , 39.55 , 66.42 , 38.71 
Sep, 19.37 , 19.25 , 20.07 , 19.12 , 20.07 , 20.38 
Oct, 25.82 , 26.40 , 25.33 , 24.14 , 28.90 , 24.34 
Nov, 24.63 , 24.09 , 25.40 , 24.13 , 26.68 , 29.67 
Dec, 27.03 , 20.84 , 21.19 , 21.13 , 20.77 , 25.76 
